,data_light,data_batt,data_acce_x,data_acce_y,data_acce_z,data_temp,data_baro,data_magnx,data_magny,data_magnz,data_gyrox,data_gyroy,data_gyroz
21,0.24,76,0.148925781,-0.171630859,-1.022216797,18.78,1008.84,42.28278388,65.82319902,-513.6908425,3.944396973,3.471374512,-32.37915039
22,0.4,76,0.148193359,0.062011719,-0.940673828,18.78,1008.84,66.72283272,63.57411477,-533.9326007,7.530212402,-21.23260498,-7.89642334
23,0.4,76,0.080322266,0.000732422,-1.131835938,18.78,1008.76,86.66471306,65.82319902,-507.5433455,7.583618164,11.34490967,-47.11914063
24,0.48,76,0.236572266,-0.016601563,-0.964599609,18.8,1008.85,87.11452991,60.42539683,-494.7985348,-2.563476563,-8.247375488,-9.078979492
25,0.56,76,0.199462891,0.079345703,-0.966308594,18.8,1008.84,82.31648352,55.62735043,-493.8989011,4.257202148,5.027770996,-12.74108887
26,1.2,76,0.119384766,0.277832031,-0.575927734,18.82,1008.84,86.66471306,73.76996337,-495.8481074,27.19116211,-27.6260376,-37.65106201
27,1.45,76,0.209716797,-0.049804688,-1.088623047,18.82,1008.83,92.21245421,62.82442002,-487.7514042,14.12200928,11.72637939,-15.28930664
28,0.72,76,0.182861328,-0.18359375,-1.076416016,18.83,1008.85,83.21611722,51.12918193,-493.7489621,12.08496094,-2.380371094,-47.76763916
29,0.48,76,0.095703125,-0.097167969,-0.862548828,18.84,1008.85,59.37582418,67.92234432,-514.1406593,3.288269043,-14.03045654,-11.32202148
30,0.24,76,0.286376953,0.015625,-0.929199219,18.84,1008.79,66.27301587,52.77851038,-500.4962149,36.89575195,-3.50189209,13.51165771
31,0.48,76,0.065429688,-0.062744141,-1.041503906,18.85,1008.76,65.97313797,56.67692308,-502.1455433,9.490966797,-5.569458008,-52.49023438
32,0.48,76,0.088134766,-0.041992188,-1.061767578,18.85,1008.85,62.52454212,71.97069597,-515.7899878,6.973266602,-4.219055176,-2.143859863
33,0.4,76,0.06640625,0.036865234,-1.094238281,18.86,1008.85,47.98046398,69.72161172,-519.9882784,6.469726563,-5.477905273,-5.828857422
34,0.32,76,0.207519531,0.05078125,-0.978271484,18.86,1008.78,52.77851038,70.32136752,-513.5409035,5.416870117,-4.409790039,-6.622314453
